Project,Period,Version,Classes Total,Classes w/ Atoms,LoC,N.Atoms,N.Types,PostIncDec,PreIncDec,IOP,CO,AaL,LaCF,RV,CoLE,OCB,TC,Number of Atoms per LoC (10^-3),Atom Diffusion,Atom Density
AsteroidOSSync,Before CI/CD,0.1.0,237,102,42832,568,5,6,0,12,295,0,226,0,0,0,29,13.261113186402689,0.43037974683544306,5.568627450980392
AsteroidOSSync,Before CI/CD,0.5.0,348,133,61031,704,6,6,2,16,330,0,293,0,0,0,57,11.535121495633367,0.382183908045977,5.293233082706767
AsteroidOSSync,Before CI/CD,0.10.0,383,138,64885,734,6,6,2,16,337,0,315,0,0,0,58,11.312321800107883,0.360313315926893,5.318840579710145
AsteroidOSSync,Before CI/CD,0.15.0,371,136,63482,823,6,8,3,24,372,0,351,0,0,0,65,12.964304842317507,0.3665768194070081,6.051470588235294
AsteroidOSSync,Before CI/CD,0.20.0,110,20,12447,165,6,2,1,11,41,0,72,0,0,0,38,13.256206314774644,0.18181818181818182,8.25
AsteroidOSSync,After CI/CD,0.22.0,110,21,12564,166,6,2,1,11,41,0,73,0,0,0,38,13.212352753900031,0.19090909090909092,7.904761904761905
AsteroidOSSync,After CI/CD,0.23.0,110,21,12625,166,6,2,1,11,41,0,73,0,0,0,38,13.148514851485148,0.19090909090909092,7.904761904761905
AsteroidOSSync,After CI/CD,0.25.0,110,21,12609,166,6,2,1,11,41,0,73,0,0,0,38,13.165199460702672,0.19090909090909092,7.904761904761905
AsteroidOSSync,After CI/CD,0.27.0,110,21,12633,166,6,2,1,11,41,0,73,0,0,0,38,13.140188395472176,0.19090909090909092,7.904761904761905
AsteroidOSSync,After CI/CD,0.28.0,110,21,12596,166,6,2,1,11,41,0,73,0,0,0,38,13.178786916481423,0.19090909090909092,7.904761904761905
