Project,Period,Version,Classes Total,Classes w/ Atoms,LoC,N.Atoms,N.Types,PostIncDec,PreIncDec,IOP,CO,AaL,LaCF,RV,CoLE,OCB,TC,Number of Atoms per LoC (10^-3),Atom Diffusion,Atom Density
Commons-Codec,Before CI/CD,1.3.0,36,14,9241,292,6,7,5,1,25,0,108,0,0,0,146,31.59831187100963,0.3888888888888889,20.857142857142858
Commons-Codec,Before CI/CD,1.4.0,52,19,14241,302,6,26,6,2,27,0,111,0,0,0,130,21.206375956744612,0.36538461538461536,15.894736842105264
Commons-Codec,Before CI/CD,1.5.0,74,25,17543,417,6,88,4,3,30,0,119,0,0,0,173,23.770164738072165,0.33783783783783783,16.68
Commons-Codec,Before CI/CD,1.6.0,91,30,20017,432,6,88,4,3,36,0,125,0,0,0,176,21.581655592746166,0.32967032967032966,14.4
Commons-Codec,Before CI/CD,1.7.0,111,39,23536,475,7,99,4,4,47,0,132,0,6,0,183,20.181849082256967,0.35135135135135137,12.179487179487179
Commons-Codec,Before CI/CD,1.8.0,113,40,24388,487,7,99,4,4,47,0,144,0,6,0,183,19.968837133016237,0.35398230088495575,12.175
Commons-Codec,Before CI/CD,1.9.0,115,40,24541,487,7,99,4,4,47,0,144,0,6,0,183,19.84434212134795,0.34782608695652173,12.175
Commons-Codec,Before CI/CD,1.10.0,122,42,26863,505,7,103,5,4,50,0,154,0,6,0,183,18.799091687451142,0.3442622950819672,12.023809523809524
Commons-Codec,After CI/CD,1.11.0,134,49,30749,538,7,119,5,10,51,0,155,0,7,0,191,17.49650395134801,0.3656716417910448,10.979591836734693
Commons-Codec,After CI/CD,1.12.0,136,51,31756,552,7,119,7,10,53,0,161,0,7,0,195,17.3825418818491,0.375,10.823529411764707
Commons-Codec,After CI/CD,1.13.0,143,54,33065,633,7,119,7,17,53,0,161,0,7,0,269,19.144110086193862,0.3776223776223776,11.722222222222221
Commons-Codec,After CI/CD,1.14.0,146,56,35743,644,7,120,7,20,54,0,165,0,7,0,271,18.01751391880928,0.3835616438356164,11.5
Commons-Codec,After CI/CD,1.15.0,157,59,38276,700,7,127,7,20,58,0,165,0,7,0,316,18.2882223847842,0.37579617834394907,11.864406779661017
