Project,Period,Version,Classes Total,Classes w/ Atoms,LoC,N.Atoms,N.Types,PostIncDec,PreIncDec,IOP,CO,AaL,LaCF,RV,CoLE,OCB,TC,Number of Atoms per LoC (10^-3),Atom Diffusion,Atom Density
Commons-DBCP,Before CI/CD,1.0.0,49,11,9839,74,5,1,1,0,6,0,62,0,0,0,4,7.521089541620083,0.22448979591836735,6.7272727272727275
Commons-DBCP,Before CI/CD,1.1.0,63,20,12372,95,6,2,1,1,19,0,68,0,0,0,4,7.678629162625283,0.31746031746031744,4.75
Commons-DBCP,Before CI/CD,1.2.0,71,22,13978,102,6,3,1,1,19,0,74,0,0,0,4,7.297181284876234,0.30985915492957744,4.636363636363637
Commons-DBCP,Before CI/CD,1.3.0,113,24,24287,135,6,2,1,1,35,0,92,0,0,0,4,5.558529254333594,0.21238938053097345,5.625
Commons-DBCP,Before CI/CD,1.4.0,113,27,24287,139,6,2,1,1,35,0,96,0,0,0,4,5.72322641742496,0.23893805309734514,5.148148148148148
Commons-DBCP,Before CI/CD,2.0.0,109,24,25574,117,6,1,1,10,20,0,81,0,0,0,4,4.574958942676155,0.22018348623853212,4.875
Commons-DBCP,Before CI/CD,2.1.0,118,27,26911,130,6,1,1,10,25,0,89,0,0,0,4,4.830738359778529,0.2288135593220339,4.814814814814815
Commons-DBCP,After CI/CD,2.2.0,128,28,27954,133,6,1,1,13,27,0,87,0,0,0,4,4.757816412677971,0.21875,4.75
Commons-DBCP,After CI/CD,2.3.0,129,29,28088,134,6,1,1,13,28,0,87,0,0,0,4,4.770720592423811,0.2248062015503876,4.620689655172414
Commons-DBCP,After CI/CD,2.4.0,136,31,31353,140,6,1,1,12,35,0,87,0,0,0,4,4.465282429113642,0.22794117647058823,4.516129032258065
Commons-DBCP,After CI/CD,2.5.0,150,34,40705,155,6,1,1,13,40,0,91,0,0,0,9,3.8078860090897924,0.22666666666666666,4.5588235294117645
Commons-DBCP,After CI/CD,2.6.0,154,35,42406,158,6,1,1,13,42,0,92,0,0,0,9,3.72588784605952,0.22727272727272727,4.514285714285714
Commons-DBCP,After CI/CD,2.7.0,159,37,42872,145,6,1,1,13,44,0,77,0,0,0,9,3.3821608509050196,0.23270440251572327,3.918918918918919
Commons-DBCP,After CI/CD,2.8.0,159,38,43137,161,5,1,1,13,61,0,76,0,0,0,9,3.732294781741892,0.2389937106918239,4.2368421052631575
Commons-DBCP,After CI/CD,2.9.0,166,39,43560,147,5,1,1,0,50,0,86,0,0,0,9,3.37465564738292,0.23493975903614459,3.769230769230769
