Project,Period,Version,Classes Total,Classes w/ Atoms,LoC,N.Atoms,N.Types,PostIncDec,PreIncDec,IOP,CO,AaL,LaCF,RV,CoLE,OCB,TC,Number of Atoms per LoC (10^-3),Atom Diffusion,Atom Density
Discreet Launcher,Before CI/CD,1.0.0,7,1,804,1,1,0,0,0,0,0,1,0,0,0,0,1.243781094527363,0.14285714285714285,1.0
Discreet Launcher,Before CI/CD,2.0.0,13,4,1443,5,1,0,0,0,0,0,5,0,0,0,0,3.465003465003465,0.3076923076923077,1.25
Discreet Launcher,Before CI/CD,2.3.0,19,6,2175,10,1,0,0,0,0,0,10,0,0,0,0,4.597701149425287,0.3157894736842105,1.6666666666666667
Discreet Launcher,Before CI/CD,3.0.0,26,8,2927,13,2,0,0,0,2,0,11,0,0,0,0,4.441407584557568,0.3076923076923077,1.625
Discreet Launcher,Before CI/CD,3.5.0,34,8,4147,14,2,0,0,0,4,0,10,0,0,0,0,3.375934410417169,0.23529411764705882,1.75
Discreet Launcher,After CI/CD,4.0.0,44,11,5493,25,3,0,0,7,6,0,12,0,0,0,0,4.551247041689423,0.25,2.272727272727273
Discreet Launcher,After CI/CD,5.0.0,52,10,6652,26,3,0,0,7,4,0,15,0,0,0,0,3.9085989176187614,0.19230769230769232,2.6
Discreet Launcher,After CI/CD,6.0.0,55,11,7658,65,4,0,0,31,12,0,19,0,0,0,3,8.487855837033168,0.2,5.909090909090909
Discreet Launcher,After CI/CD,6.4.0,52,13,7745,76,4,0,0,37,16,0,20,0,0,0,3,9.812782440284055,0.25,5.846153846153846
Discreet Launcher,After CI/CD,7.0.0,51,15,7532,82,4,0,0,38,17,0,24,0,0,0,3,10.88688263409453,0.29411764705882354,5.466666666666667
