Project,Period,Version,Classes Total,Classes w/ Atoms,LoC,N.Atoms,N.Types,PostIncDec,PreIncDec,IOP,CO,AaL,LaCF,RV,CoLE,OCB,TC,Number of Atoms per LoC (10^-3),Atom Diffusion,Atom Density
Freemarker,Before CI/CD,2.3.20,640,172,55466,1193,7,50,4,360,447,0,299,0,2,0,31,21.50867197923052,0.26875,6.936046511627907
Freemarker,Before CI/CD,2.3.22,1023,224,88843,1911,7,53,4,602,699,0,472,0,4,0,77,21.509854462366196,0.21896383186705767,8.53125
Freemarker,Before CI/CD,2.3.24,1210,259,108051,2196,7,60,7,613,795,0,639,0,4,0,78,20.32373601354916,0.2140495867768595,8.478764478764479
Freemarker,Before CI/CD,2.3.25,1223,264,110790,2243,7,60,7,615,817,0,662,0,4,0,78,20.245509522520084,0.21586263286999183,8.496212121212121
Freemarker,Before CI/CD,2.3.26,1247,269,113043,2301,7,60,7,627,846,0,679,0,4,0,78,20.355086117672037,0.2157177225340818,8.553903345724907
Freemarker,After CI/CD,2.3.27,1273,272,114657,2334,7,60,7,628,857,0,700,0,4,0,78,20.356367251890422,0.21366849960722703,8.580882352941176
Freemarker,After CI/CD,2.3.28,1295,276,116972,2372,7,60,7,630,879,0,714,0,4,0,78,20.278357213692164,0.21312741312741312,8.594202898550725
Freemarker,After CI/CD,2.3.29,1354,285,122556,2469,7,64,7,632,927,0,756,0,4,0,79,20.14589248996377,0.21048744460856722,8.663157894736843
Freemarker,After CI/CD,2.3.30,1435,293,129426,2515,7,67,7,636,941,0,781,0,4,0,79,19.431953394217544,0.20418118466898955,8.583617747440274
Freemarker,After CI/CD,2.3.32,1477,298,132212,2587,7,69,7,645,968,0,814,0,4,0,80,19.567058965903247,0.2017603249830738,8.681208053691275
