Project,Period,Version,Classes Total,Classes w/ Atoms,LoC,N.Atoms,N.Types,PostIncDec,PreIncDec,IOP,CO,AaL,LaCF,RV,CoLE,OCB,TC,Number of Atoms per LoC (10^-3),Atom Diffusion,Atom Density
GestureViews,Before CI/CD,2.2.0,51,27,6564,148,4,0,0,21,45,0,81,0,0,0,1,22.54722730042657,0.5294117647058824,5.481481481481482
GestureViews,Before CI/CD,2.3.0,50,28,6739,152,4,0,0,21,49,0,81,0,0,0,1,22.555275263392193,0.56,5.428571428571429
GestureViews,Before CI/CD,2.4.0,51,29,7777,180,4,0,0,23,60,0,94,0,0,0,4,23.145171660023145,0.5686274509803921,6.206896551724138
GestureViews,Before CI/CD,2.5.0,51,29,7803,182,4,0,0,22,62,0,94,0,0,0,4,23.324362424708447,0.5686274509803921,6.275862068965517
GestureViews,Before CI/CD,2.6.0,51,29,8074,188,4,0,0,22,66,0,96,0,0,0,4,23.28461729006688,0.5686274509803921,6.482758620689655
GestureViews,After CI/CD,2.7.0,48,28,7791,184,4,0,0,22,64,0,94,0,0,0,4,23.61699396739828,0.5833333333333334,6.571428571428571
GestureViews,After CI/CD,2.7.1,48,28,7825,184,4,0,0,22,64,0,94,0,0,0,4,23.51437699680511,0.5833333333333334,6.571428571428571
GestureViews,After CI/CD,2.8.0,51,29,8034,194,4,0,0,22,68,0,100,0,0,0,4,24.14737366193677,0.5686274509803921,6.689655172413793
GestureViews,After CI/CD,2.8.2,51,29,8026,194,4,0,0,22,68,0,100,0,0,0,4,24.17144281086469,0.5686274509803921,6.689655172413793
GestureViews,After CI/CD,2.8.3,51,29,8035,197,4,0,0,22,68,0,103,0,0,0,4,24.517734909769757,0.5686274509803921,6.793103448275862
