Project,Period,Version,Classes Total,Classes w/ Atoms,LoC,N.Atoms,N.Types,PostIncDec,PreIncDec,IOP,CO,AaL,LaCF,RV,CoLE,OCB,TC,Number of Atoms per LoC (10^-3),Atom Diffusion,Atom Density
Commons-Lang,Before CI/CD,2.6.0,385,85,95094,895,7,33,15,207,192,0,279,0,11,0,158,9.411739962563358,0.22077922077922077,10.529411764705882
Commons-Lang,Before CI/CD,3.0.0,343,83,90259,834,7,32,15,192,186,0,258,0,11,0,140,9.240075781916484,0.24198250728862974,10.048192771084338
Commons-Lang,Before CI/CD,3.1.0,356,83,94253,876,7,42,16,201,190,0,277,0,11,0,139,9.294133873722853,0.23314606741573032,10.55421686746988
Commons-Lang,Before CI/CD,3.2.0,391,92,107868,1566,7,54,18,259,212,0,308,0,11,0,704,14.517743909222382,0.23529411764705882,17.02173913043478
Commons-Lang,Before CI/CD,3.3.0,412,96,111349,1587,7,54,18,260,216,0,322,0,11,0,706,14.25248542869716,0.23300970873786409,16.53125
Commons-Lang,Before CI/CD,3.4.0,428,95,115665,1582,7,56,16,243,230,0,329,0,19,0,688,13.677430510526088,0.2219626168224299,16.652631578947368
Commons-Lang,After CI/CD,3.5.0,477,102,127478,1672,8,57,17,271,252,0,356,9,18,0,692,13.115988641177301,0.2138364779874214,16.392156862745097
Commons-Lang,After CI/CD,3.7.0,501,106,133127,1714,8,67,17,274,267,0,369,9,18,0,693,12.874923944804586,0.21157684630738524,16.169811320754718
Commons-Lang,After CI/CD,3.8.0,505,106,134800,1710,8,67,17,275,257,0,374,9,18,0,693,12.68545994065282,0.2099009900990099,16.132075471698112
Commons-Lang,After CI/CD,3.9.0,593,106,138272,1707,8,67,18,275,255,0,372,9,18,0,693,12.345232585049757,0.178752107925801,16.10377358490566
Commons-Lang,After CI/CD,3.10.0,622,109,144327,1724,8,62,18,275,281,0,376,1,18,0,693,11.94509689801631,0.1752411575562701,15.81651376146789
Commons-Lang,After CI/CD,3.12.0,652,120,154003,1723,8,61,19,275,262,0,393,1,18,0,694,11.188093738433667,0.18404907975460122,14.358333333333333
