Project,Period,Version,Classes Total,Classes w/ Atoms,LoC,N.Atoms,N.Types,PostIncDec,PreIncDec,IOP,CO,AaL,LaCF,RV,CoLE,OCB,TC,Number of Atoms per LoC (10^-3),Atom Diffusion,Atom Density
Commons-Net,Before CI/CD,1.0.0,114,35,19874,139,6,26,14,0,6,0,53,1,0,0,39,6.99406259434437,0.30701754385964913,3.9714285714285715
Commons-Net,Before CI/CD,1.5.0,198,61,35343,372,6,25,16,2,28,0,113,0,0,0,188,10.525422290128173,0.30808080808080807,6.098360655737705
Commons-Net,Before CI/CD,2.0.0,189,63,34495,380,6,29,12,3,28,0,120,0,0,0,188,11.016089288302652,0.3333333333333333,6.031746031746032
Commons-Net,Before CI/CD,2.2.0,192,66,36576,425,6,48,14,4,36,0,127,0,0,0,196,11.619641294838145,0.34375,6.4393939393939394
Commons-Net,Before CI/CD,3.0.0,218,80,42150,475,6,67,17,4,49,0,136,0,0,0,202,11.269276393831554,0.3669724770642202,5.9375
Commons-Net,Before CI/CD,3.4.0,246,95,48175,548,6,73,29,5,63,0,171,0,0,0,207,11.37519460300986,0.3861788617886179,5.768421052631579
Commons-Net,After CI/CD,3.6.0,250,97,48981,557,6,72,31,5,71,0,171,0,0,0,207,11.371756395336968,0.388,5.742268041237113
Commons-Net,After CI/CD,3.7.0,251,100,49710,571,6,76,32,5,73,0,173,0,0,0,212,11.48662240997787,0.398406374501992,5.71
Commons-Net,After CI/CD,3.8.0,253,100,49691,578,6,76,30,10,75,0,175,0,0,0,212,11.631885049606568,0.3952569169960474,5.78
Commons-Net,After CI/CD,3.9.0,256,103,42667,592,6,76,30,10,76,0,188,0,0,0,212,13.874891602409356,0.40234375,5.747572815533981
