Project,Period,Version,Classes Total,Classes w/ Atoms,LoC,N.Atoms,N.Types,PostIncDec,PreIncDec,IOP,CO,AaL,LaCF,RV,CoLE,OCB,TC,Number of Atoms per LoC (10^-3),Atom Diffusion,Atom Density
Open Tracks,Before CI/CD,1.0.12,109,44,18750,251,6,1,2,39,79,0,91,0,0,0,39,13.386666666666667,0.4036697247706422,5.704545454545454
Open Tracks,Before CI/CD,1.1.0,215,65,31228,387,6,0,1,52,91,0,161,0,1,0,81,12.392724478032536,0.3023255813953488,5.953846153846154
Open Tracks,Before CI/CD,2.0.0,328,121,42900,575,6,1,0,86,202,0,218,0,1,0,67,13.403263403263404,0.36890243902439024,4.75206611570248
Open Tracks,Before CI/CD,3.0.0,147,66,24065,471,5,31,0,47,188,0,174,0,0,0,31,19.571992520257634,0.4489795918367347,7.136363636363637
Open Tracks,Before CI/CD,3.2.0,132,60,21150,439,5,33,0,42,169,0,166,0,0,0,29,20.756501182033098,0.45454545454545453,7.316666666666666
Open Tracks,Before CI/CD,3.3.0,133,57,19836,379,5,33,0,42,140,0,139,0,0,0,25,19.106674732809033,0.42857142857142855,6.649122807017544
Open Tracks,After CI/CD,3.4.0,131,61,19436,376,5,33,0,42,141,0,135,0,0,0,25,19.345544350689444,0.46564885496183206,6.163934426229508
Open Tracks,After CI/CD,3.7.0,146,69,21052,379,5,17,0,41,142,0,141,0,0,0,38,18.003040091202735,0.4726027397260274,5.492753623188406
Open Tracks,After CI/CD,3.16.0,210,84,26303,461,5,25,0,42,178,0,170,0,0,0,46,17.52651788769342,0.4,5.488095238095238
Open Tracks,After CI/CD,3.26.0,285,110,32398,568,5,24,0,52,199,0,242,0,0,0,51,17.53194641644546,0.38596491228070173,5.163636363636364
Open Tracks,After CI/CD,4.0.0,300,113,33436,551,5,24,0,52,189,0,238,0,0,0,48,16.479243928699606,0.37666666666666665,4.876106194690266
Open Tracks,After CI/CD,4.6.0,301,106,32312,517,6,26,0,51,174,0,219,0,2,0,45,16.00024758603615,0.3521594684385382,4.877358490566038
