Project,Period,Version,Classes Total,Classes w/ Atoms,LoC,N.Atoms,N.Types,PostIncDec,PreIncDec,IOP,CO,AaL,LaCF,RV,CoLE,OCB,TC,Number of Atoms per LoC (10^-3),Atom Diffusion,Atom Density
Presence-Publisher,Before CI/CD,1.0.0,6,2,395,8,3,0,0,1,1,0,6,0,0,0,0,20.253164556962027,0.3333333333333333,4.0
Presence-Publisher,Before CI/CD,1.1.0,7,3,439,12,3,0,0,1,1,0,10,0,0,0,0,27.33485193621868,0.42857142857142855,4.0
Presence-Publisher,Before CI/CD,1.2.0,19,6,706,15,3,0,0,1,3,0,11,0,0,0,0,21.246458923512748,0.3157894736842105,2.5
Presence-Publisher,Before CI/CD,1.3.0,20,6,813,16,3,0,0,1,3,0,12,0,0,0,0,19.68019680196802,0.3,2.6666666666666665
Presence-Publisher,Before CI/CD,1.5.0,22,6,1038,18,3,0,0,1,3,0,14,0,0,0,0,17.341040462427745,0.2727272727272727,3.0
Presence-Publisher,After CI/CD,1.7.0,58,8,1731,24,4,0,0,1,3,0,19,0,0,0,1,13.864818024263432,0.13793103448275862,3.0
Presence-Publisher,After CI/CD,2.0.0,73,14,2431,40,4,0,0,1,4,0,34,0,0,0,1,16.454134101192924,0.1917808219178082,2.857142857142857
Presence-Publisher,After CI/CD,2.1.0,75,16,2571,43,4,0,0,2,4,0,35,0,0,0,1,16.725009723842863,0.21333333333333335,2.6875
Presence-Publisher,After CI/CD,2.3.0,123,26,5177,55,4,0,0,2,6,0,46,0,0,0,1,10.62391346339579,0.21138211382113822,2.1153846153846154
Presence-Publisher,After CI/CD,2.5.0,134,29,5710,51,4,0,0,1,8,0,40,0,0,0,2,8.93169877408056,0.21641791044776118,1.7586206896551724
