Project,Period,Version,Classes Total,Classes w/ Atoms,LoC,N.Atoms,N.Types,PostIncDec,PreIncDec,IOP,CO,AaL,LaCF,RV,CoLE,OCB,TC,Number of Atoms per LoC (10^-3),Atom Diffusion,Atom Density
Shitter,Before CI/CD,1.0.0,31,14,4656,33,4,1,3,0,0,0,25,0,0,0,4,7.087628865979381,0.45161290322580644,2.357142857142857
Shitter,Before CI/CD,1.3.0,41,15,5958,55,4,1,1,0,0,0,49,0,0,0,4,9.231285666330983,0.36585365853658536,3.6666666666666665
Shitter,Before CI/CD,1.5.0,50,24,7393,62,3,3,0,0,0,0,55,0,0,0,4,8.386311375625592,0.48,2.5833333333333335
Shitter,Before CI/CD,1.7.0,60,29,9176,106,3,1,0,0,8,0,97,0,0,0,0,11.551874455100261,0.48333333333333334,3.6551724137931036
Shitter,Before CI/CD,1.8.0,82,38,12798,168,4,1,0,0,44,0,120,0,0,0,3,13.127051101734645,0.4634146341463415,4.421052631578948
Shitter,After CI/CD,1.8.17,86,40,15026,140,4,0,0,1,7,0,129,0,0,0,3,9.317183548515906,0.46511627906976744,3.5
Shitter,After CI/CD,1.9.2,93,42,16276,143,4,0,0,1,7,0,132,0,0,0,3,8.78594249201278,0.45161290322580644,3.4047619047619047
Shitter,After CI/CD,2.0.0,111,41,18356,164,3,0,0,1,2,0,161,0,0,0,0,8.934408367836129,0.36936936936936937,4.0
Shitter,After CI/CD,2.2.0,116,43,20412,214,6,1,1,1,2,0,204,0,0,0,5,10.484029002547521,0.3706896551724138,4.976744186046512
Shitter,After CI/CD,3.2.0,254,108,35960,352,6,3,1,3,12,0,322,0,0,0,11,9.78865406006674,0.4251968503937008,3.259259259259259
