Project,Period,Version,Classes Total,Classes w/ Atoms,LoC,N.Atoms,N.Types,PostIncDec,PreIncDec,IOP,CO,AaL,LaCF,RV,CoLE,OCB,TC,Number of Atoms per LoC (10^-3),Atom Diffusion,Atom Density
Struts,Before CI/CD,2.2.0,562,98,48798,319,5,5,2,0,107,0,199,0,0,0,6,6.537153162014837,0.17437722419928825,3.2551020408163267
Struts,Before CI/CD,2.3.1,560,98,48682,323,5,5,2,0,108,0,202,0,0,0,6,6.6348958547307015,0.175,3.295918367346939
Struts,Before CI/CD,2.3.10,571,101,50411,339,6,5,2,1,109,0,216,0,0,0,6,6.724722778758604,0.17688266199649738,3.3564356435643563
Struts,Before CI/CD,2.3.15,575,102,51068,341,6,5,2,1,111,0,216,0,0,0,6,6.677371348006579,0.17739130434782607,3.343137254901961
Struts,Before CI/CD,2.3.20,599,112,53785,357,6,5,2,2,121,0,221,0,0,0,6,6.6375383471228036,0.18697829716193656,3.1875
Struts,Before CI/CD,2.3.25,620,122,58071,482,8,52,6,13,132,8,246,0,1,0,24,8.30018425720239,0.1967741935483871,3.9508196721311477
Struts,Before CI/CD,2.5.0,1155,228,110556,975,8,65,11,46,320,8,497,0,1,0,27,8.8190600238793,0.1974025974025974,4.276315789473684
Struts,After CI/CD,2.5.3,1159,231,111129,986,8,65,11,46,323,8,505,0,1,0,27,8.872571515985927,0.1993097497842968,4.268398268398268
Struts,After CI/CD,2.5.5,1160,231,111173,986,8,65,11,46,323,8,505,0,1,0,27,8.869059933616976,0.19913793103448277,4.268398268398268
Struts,After CI/CD,2.5.10,1169,231,111397,987,8,65,11,50,323,8,502,0,1,0,27,8.86020269845687,0.19760479041916168,4.2727272727272725
Struts,After CI/CD,2.5.15,1213,233,115935,993,8,65,11,50,325,8,506,0,1,0,27,8.565144261870875,0.19208573784006594,4.261802575107296
Struts,After CI/CD,2.5.20,1215,238,116817,998,8,66,12,50,329,8,505,0,1,0,27,8.543277091519213,0.19588477366255144,4.19327731092437
Struts,After CI/CD,6.0.0,1196,241,144041,1048,8,66,12,50,355,8,529,0,1,0,27,7.275706222533862,0.20150501672240803,4.348547717842323
Struts,After CI/CD,6.1.0,1188,235,141398,936,6,23,8,39,339,0,514,0,0,0,13,6.619612724366681,0.1978114478114478,3.9829787234042553
