Project,Period,Version,Classes Total,Classes w/ Atoms,LoC,N.Atoms,N.Types,PostIncDec,PreIncDec,IOP,CO,AaL,LaCF,RV,CoLE,OCB,TC,Number of Atoms per LoC (10^-3),Atom Diffusion,Atom Density
XUpdate,Before CI/CD,1.0.0,32,14,5080,75,5,2,0,22,16,0,28,0,0,0,7,14.763779527559056,0.4375,5.357142857142857
XUpdate,Before CI/CD,1.0.5,35,17,5889,81,5,2,0,22,18,0,32,0,0,0,7,13.754457463066734,0.4857142857142857,4.764705882352941
XUpdate,Before CI/CD,1.1.0,35,19,6169,97,5,2,0,22,26,0,33,0,0,0,14,15.723780191278976,0.5428571428571428,5.105263157894737
XUpdate,Before CI/CD,1.1.3,36,20,6382,99,5,2,0,22,26,0,35,0,0,0,14,15.512378564713256,0.5555555555555556,4.95
XUpdate,Before CI/CD,2.0.0,40,22,7237,109,5,2,0,22,27,0,44,0,0,0,14,15.061489567500345,0.55,4.954545454545454
XUpdate,After CI/CD,2.0.3,41,23,7460,113,5,2,0,22,29,0,46,0,0,0,14,15.14745308310992,0.5609756097560976,4.913043478260869
XUpdate,After CI/CD,2.0.5,41,24,7619,116,5,2,0,22,33,0,45,0,0,0,14,15.22509515684473,0.5853658536585366,4.833333333333333
XUpdate,After CI/CD,2.0.8,40,23,7737,116,5,2,0,22,34,0,44,0,0,0,14,14.992891301538064,0.575,5.043478260869565
XUpdate,After CI/CD,2.1.0,40,24,7936,125,5,2,0,22,39,0,47,0,0,0,15,15.75100806451613,0.6,5.208333333333333
XUpdate,After CI/CD,2.1.4,40,24,8356,127,5,2,0,22,41,0,47,0,0,0,15,15.198659645763524,0.6,5.291666666666667
