Project,Period,Version,Classes Total,Classes w/ Atoms,LoC,N.Atoms,N.Types,PostIncDec,PreIncDec,IOP,CO,AaL,LaCF,RV,CoLE,OCB,TC,Number of Atoms per LoC (10^-3),Atom Diffusion,Atom Density
Commons-Lang,Before CI/CD,2.6.0,385,85,95094,895,7,33,15,207,192,0,279,0,11,0,158,9.411739962563358,0.22077922077922077,10.529411764705882
Commons-Lang,Before CI/CD,3.0.0,343,83,90259,834,7,32,15,192,186,0,258,0,11,0,140,9.240075781916484,0.24198250728862974,10.048192771084338
Commons-Lang,Before CI/CD,3.1.0,356,83,94253,876,7,42,16,201,190,0,277,0,11,0,139,9.294133873722853,0.23314606741573032,10.55421686746988
Commons-Lang,Before CI/CD,3.2.0,391,92,107868,1566,7,54,18,259,212,0,308,0,11,0,704,14.517743909222382,0.23529411764705882,17.02173913043478
Commons-Lang,Before CI/CD,3.3.0,412,96,111349,1587,7,54,18,260,216,0,322,0,11,0,706,14.25248542869716,0.23300970873786409,16.53125
Commons-Lang,Before CI/CD,3.4.0,428,95,115665,1582,7,56,16,243,230,0,329,0,19,0,688,13.677430510526088,0.2219626168224299,16.652631578947368
Commons-Lang,After CI/CD,3.5.0,477,102,127478,1672,8,57,17,271,252,0,356,9,18,0,692,13.115988641177301,0.2138364779874214,16.392156862745097
Commons-Lang,After CI/CD,3.7.0,501,106,133127,1714,8,67,17,274,267,0,369,9,18,0,693,12.874923944804586,0.21157684630738524,16.169811320754718
Commons-Lang,After CI/CD,3.8.0,505,106,134800,1710,8,67,17,275,257,0,374,9,18,0,693,12.68545994065282,0.2099009900990099,16.132075471698112
Commons-Lang,After CI/CD,3.9.0,593,106,138272,1707,8,67,18,275,255,0,372,9,18,0,693,12.345232585049757,0.178752107925801,16.10377358490566
Commons-Lang,After CI/CD,3.10.0,622,109,144327,1724,8,62,18,275,281,0,376,1,18,0,693,11.94509689801631,0.1752411575562701,15.81651376146789
Commons-Lang,After CI/CD,3.12.0,652,120,154003,1723,8,61,19,275,262,0,393,1,18,0,694,11.188093738433667,0.18404907975460122,14.358333333333333
Commons-DBCP,Before CI/CD,1.0.0,49,11,9839,74,5,1,1,0,6,0,62,0,0,0,4,7.521089541620083,0.22448979591836735,6.7272727272727275
Commons-DBCP,Before CI/CD,1.1.0,63,20,12372,95,6,2,1,1,19,0,68,0,0,0,4,7.678629162625283,0.31746031746031744,4.75
Commons-DBCP,Before CI/CD,1.2.0,71,22,13978,102,6,3,1,1,19,0,74,0,0,0,4,7.297181284876234,0.30985915492957744,4.636363636363637
Commons-DBCP,Before CI/CD,1.3.0,113,24,24287,135,6,2,1,1,35,0,92,0,0,0,4,5.558529254333594,0.21238938053097345,5.625
Commons-DBCP,Before CI/CD,1.4.0,113,27,24287,139,6,2,1,1,35,0,96,0,0,0,4,5.72322641742496,0.23893805309734514,5.148148148148148
Commons-DBCP,Before CI/CD,2.0.0,109,24,25574,117,6,1,1,10,20,0,81,0,0,0,4,4.574958942676155,0.22018348623853212,4.875
Commons-DBCP,Before CI/CD,2.1.0,118,27,26911,130,6,1,1,10,25,0,89,0,0,0,4,4.830738359778529,0.2288135593220339,4.814814814814815
Commons-DBCP,After CI/CD,2.2.0,128,28,27954,133,6,1,1,13,27,0,87,0,0,0,4,4.757816412677971,0.21875,4.75
Commons-DBCP,After CI/CD,2.3.0,129,29,28088,134,6,1,1,13,28,0,87,0,0,0,4,4.770720592423811,0.2248062015503876,4.620689655172414
Commons-DBCP,After CI/CD,2.4.0,136,31,31353,140,6,1,1,12,35,0,87,0,0,0,4,4.465282429113642,0.22794117647058823,4.516129032258065
Commons-DBCP,After CI/CD,2.5.0,150,34,40705,155,6,1,1,13,40,0,91,0,0,0,9,3.8078860090897924,0.22666666666666666,4.5588235294117645
Commons-DBCP,After CI/CD,2.6.0,154,35,42406,158,6,1,1,13,42,0,92,0,0,0,9,3.72588784605952,0.22727272727272727,4.514285714285714
Commons-DBCP,After CI/CD,2.7.0,159,37,42872,145,6,1,1,13,44,0,77,0,0,0,9,3.3821608509050196,0.23270440251572327,3.918918918918919
Commons-DBCP,After CI/CD,2.8.0,159,38,43137,161,5,1,1,13,61,0,76,0,0,0,9,3.732294781741892,0.2389937106918239,4.2368421052631575
Commons-DBCP,After CI/CD,2.9.0,166,39,43560,147,5,1,1,0,50,0,86,0,0,0,9,3.37465564738292,0.23493975903614459,3.769230769230769
Struts,Before CI/CD,2.2.0,562,98,48798,319,5,5,2,0,107,0,199,0,0,0,6,6.537153162014837,0.17437722419928825,3.2551020408163267
Struts,Before CI/CD,2.3.1,560,98,48682,323,5,5,2,0,108,0,202,0,0,0,6,6.6348958547307015,0.175,3.295918367346939
Struts,Before CI/CD,2.3.10,571,101,50411,339,6,5,2,1,109,0,216,0,0,0,6,6.724722778758604,0.17688266199649738,3.3564356435643563
Struts,Before CI/CD,2.3.15,575,102,51068,341,6,5,2,1,111,0,216,0,0,0,6,6.677371348006579,0.17739130434782607,3.343137254901961
Struts,Before CI/CD,2.3.20,599,112,53785,357,6,5,2,2,121,0,221,0,0,0,6,6.6375383471228036,0.18697829716193656,3.1875
Struts,Before CI/CD,2.3.25,620,122,58071,482,8,52,6,13,132,8,246,0,1,0,24,8.30018425720239,0.1967741935483871,3.9508196721311477
Struts,Before CI/CD,2.5.0,1155,228,110556,975,8,65,11,46,320,8,497,0,1,0,27,8.8190600238793,0.1974025974025974,4.276315789473684
Struts,After CI/CD,2.5.3,1159,231,111129,986,8,65,11,46,323,8,505,0,1,0,27,8.872571515985927,0.1993097497842968,4.268398268398268
Struts,After CI/CD,2.5.5,1160,231,111173,986,8,65,11,46,323,8,505,0,1,0,27,8.869059933616976,0.19913793103448277,4.268398268398268
Struts,After CI/CD,2.5.10,1169,231,111397,987,8,65,11,50,323,8,502,0,1,0,27,8.86020269845687,0.19760479041916168,4.2727272727272725
Struts,After CI/CD,2.5.15,1213,233,115935,993,8,65,11,50,325,8,506,0,1,0,27,8.565144261870875,0.19208573784006594,4.261802575107296
Struts,After CI/CD,2.5.20,1215,238,116817,998,8,66,12,50,329,8,505,0,1,0,27,8.543277091519213,0.19588477366255144,4.19327731092437
Struts,After CI/CD,6.0.0,1196,241,144041,1048,8,66,12,50,355,8,529,0,1,0,27,7.275706222533862,0.20150501672240803,4.348547717842323
Struts,After CI/CD,6.1.0,1188,235,141398,936,6,23,8,39,339,0,514,0,0,0,13,6.619612724366681,0.1978114478114478,3.9829787234042553
Commons-Codec,Before CI/CD,1.3.0,36,14,9241,292,6,7,5,1,25,0,108,0,0,0,146,31.59831187100963,0.3888888888888889,20.857142857142858
Commons-Codec,Before CI/CD,1.4.0,52,19,14241,302,6,26,6,2,27,0,111,0,0,0,130,21.206375956744612,0.36538461538461536,15.894736842105264
Commons-Codec,Before CI/CD,1.5.0,74,25,17543,417,6,88,4,3,30,0,119,0,0,0,173,23.770164738072165,0.33783783783783783,16.68
Commons-Codec,Before CI/CD,1.6.0,91,30,20017,432,6,88,4,3,36,0,125,0,0,0,176,21.581655592746166,0.32967032967032966,14.4
Commons-Codec,Before CI/CD,1.7.0,111,39,23536,475,7,99,4,4,47,0,132,0,6,0,183,20.181849082256967,0.35135135135135137,12.179487179487179
Commons-Codec,Before CI/CD,1.8.0,113,40,24388,487,7,99,4,4,47,0,144,0,6,0,183,19.968837133016237,0.35398230088495575,12.175
Commons-Codec,Before CI/CD,1.9.0,115,40,24541,487,7,99,4,4,47,0,144,0,6,0,183,19.84434212134795,0.34782608695652173,12.175
Commons-Codec,Before CI/CD,1.10.0,122,42,26863,505,7,103,5,4,50,0,154,0,6,0,183,18.799091687451142,0.3442622950819672,12.023809523809524
