Project,Period,Version,Classes Total,Classes w/ Atoms,LoC,N.Atoms,Number of Atoms per LoC (10^-3),Atom Diffusion,Atom Density
Commons-Lang,Before CI/CD,Mean,385.8333333333333,89.0,102414.66666666667,1223.3333333333333,11.732268244441387,0.2310290397818223,13.556240352107041
Commons-Lang,After CI/CD,Mean,558.3333333333334,108.16666666666667,138667.83333333334,1708.3333333333333,12.359132624689074,0.19555944327174812,15.828777389150803
Commons-Lang,Before CI/CD,Median,388.0,88.5,101481.0,1230.5,11.544585236544723,0.2330778880767972,13.54273343373494
Commons-Lang,After CI/CD,Median,549.0,106.0,136536.0,1712.0,12.515346262851288,0.19697503492680557,16.117924528301884
Commons-Lang,Before CI/CD,Geo-Mean,384.6984457300537,88.82999330090466,101965.50807262529,1170.4280623811549,11.478666506987,0.23090811592006652,13.176045825157525
Commons-Lang,After CI/CD,Geo-Mean,554.3576258390591,108.02416514504287,138409.86598456022,1708.2438932676414,12.341922890512716,0.19486367664112253,15.813534786165679
Commons-DBCP,Before CI/CD,Mean,90.85714285714286,22.142857142857142,19606.85714285714,113.14285714285714,6.169193280476406,0.250304821071021,5.225228475228476
Commons-DBCP,After CI/CD,Mean,147.625,33.875,37509.375,146.625,4.002088071174321,0.22900933052550768,4.360614965567601
Commons-DBCP,Before CI/CD,Median,109.0,24.0,24287.0,117.0,5.72322641742496,0.2288135593220339,4.875
Commons-DBCP,After CI/CD,Median,152.0,34.5,41555.5,146.0,3.770090395415842,0.22760695187165775,4.51520737327189
Commons-DBCP,Before CI/CD,Geo-Mean,86.4188781786002,21.36552774870383,18312.973994339198,110.77284901270511,6.0488727307179415,0.24723218119712362,5.184653068980496
Commons-DBCP,After CI/CD,Geo-Mean,146.97098780293612,33.64645600260461,36881.095500525604,146.28441495541776,3.966379332558954,0.22893263837703087,4.347691624463918
Struts,Before CI/CD,Mean,663.1428571428571,123.0,60195.857142857145,448.0,7.190132253102175,0.18354375409379045,3.5236041097477733
Struts,After CI/CD,Mean,1185.7142857142858,234.28571428571428,121698.57142857143,990.5714285714286,8.229367778335773,0.19761992103920206,4.228018590971722
Struts,Before CI/CD,Median,575.0,102.0,51068.0,341.0,6.677371348006579,0.17739130434782607,3.343137254901961
Struts,After CI/CD,Median,1188.0,233.0,115935.0,987.0,8.565144261870875,0.1978114478114478,4.268398268398268
