Period;Version;Classes Total;Classes w/ Atoms;LoC;N.Atoms;N.Types;PostIncDec;PreIncDec;IOP;CO;AaL;LaCF;RV;CoLE;OCB;TC
After CI/CD;0.28.0;110;21;12596;166;6;2;1;11;41;0;73;0;0;0;38
After CI/CD;0.27.0;110;21;12633;166;6;2;1;11;41;0;73;0;0;0;38
After CI/CD;0.25.0;110;21;12609;166;6;2;1;11;41;0;73;0;0;0;38
After CI/CD;0.23.0;110;21;12625;166;6;2;1;11;41;0;73;0;0;0;38
After CI/CD;0.22.0;110;21;12564;166;6;2;1;11;41;0;73;0;0;0;38
Before CI/CD;0.20.0;110;20;12447;165;6;2;1;11;41;0;72;0;0;0;38
Before CI/CD;0.15.0;371;136;63482;823;6;8;3;24;372;0;351;0;0;0;65
Before CI/CD;0.10.0;383;138;64885;734;6;6;2;16;337;0;315;0;0;0;58
Before CI/CD;0.5.0;348;133;61031;704;6;6;2;16;330;0;293;0;0;0;57
Before CI/CD;0.1.0;237;102;42832;568;5;6;0;12;295;0;226;0;0;0;29
