Period;Version;Classes Total;Classes w/ Atoms;LoC;N.Atoms;N.Types;PostIncDec;PreIncDec;IOP;CO;AaL;LaCF;RV;CoLE;OCB;TC
After CI/CD;1.15.0;157;59;38276;700;7;127;7;20;58;0;165;0;7;0;316
After CI/CD;1.14.0;146;56;35743;644;7;120;7;20;54;0;165;0;7;0;271
After CI/CD;1.13.0;143;54;33065;633;7;119;7;17;53;0;161;0;7;0;269
After CI/CD;1.12.0;136;51;31756;552;7;119;7;10;53;0;161;0;7;0;195
After CI/CD;1.11.0;134;49;30749;538;7;119;5;10;51;0;155;0;7;0;191
Before CI/CD;1.10.0;122;42;26863;505;7;103;5;4;50;0;154;0;6;0;183
Before CI/CD;1.9.0;115;40;24541;487;7;99;4;4;47;0;144;0;6;0;183
Before CI/CD;1.8.0;113;40;24388;487;7;99;4;4;47;0;144;0;6;0;183
Before CI/CD;1.7.0;111;39;23536;475;7;99;4;4;47;0;132;0;6;0;183
Before CI/CD;1.6.0;91;30;20017;432;6;88;4;3;36;0;125;0;0;0;176
Before CI/CD;1.5.0;74;25;17543;417;6;88;4;3;30;0;119;0;0;0;173
Before CI/CD;1.4.0;52;19;14241;302;6;26;6;2;27;0;111;0;0;0;130
Before CI/CD;1.3.0;36;14;9241;292;6;7;5;1;25;0;108;0;0;0;146
