Period;Version;Classes Total;Classes w/ Atoms;LoC;N.Atoms;N.Types;PostIncDec;PreIncDec;IOP;CO;AaL;LaCF;RV;CoLE;OCB;TC
After CI/CD;3.12.0;652;120;154003;1723;8;61;19;275;262;0;393;1;18;0;694
After CI/CD;3.10.0;622;109;144327;1724;8;62;18;275;281;0;376;1;18;0;693
After CI/CD;3.9.0;593;106;138272;1707;8;67;18;275;255;0;372;9;18;0;693
After CI/CD;3.8.0;505;106;134800;1710;8;67;17;275;257;0;374;9;18;0;693
After CI/CD;3.7.0;501;106;133127;1714;8;67;17;274;267;0;369;9;18;0;693
After CI/CD;3.5.0;477;102;127478;1672;8;57;17;271;252;0;356;9;18;0;692
Before CI/CD;3.4.0;428;95;115665;1582;7;56;16;243;230;0;329;0;19;0;688
Before CI/CD;3.3.0;412;96;111349;1587;7;54;18;260;216;0;322;0;11;0;706
Before CI/CD;3.2.0;391;92;107868;1566;7;54;18;259;212;0;308;0;11;0;704
Before CI/CD;3.1.0;356;83;94253;876;7;42;16;201;190;0;277;0;11;0;139
Before CI/CD;3.0.0;343;83;90259;834;7;32;15;192;186;0;258;0;11;0;140
Before CI/CD;2.6.0;385;85;95094;895;7;33;15;207;192;0;279;0;11;0;158
