Period;Version;Classes Total;Classes w/ Atoms;LoC;N.Atoms;N.Types;PostIncDec;PreIncDec;IOP;CO;AaL;LaCF;RV;CoLE;OCB;TC
After CI/CD;3.9.0;256;103;42667;592;6;76;30;10;76;0;188;0;0;0;212
After CI/CD;3.8.0;253;100;49691;578;6;76;30;10;75;0;175;0;0;0;212
After CI/CD;3.7.0;251;100;49710;571;6;76;32;5;73;0;173;0;0;0;212
After CI/CD;3.6.0;250;97;48981;557;6;72;31;5;71;0;171;0;0;0;207
Before CI/CD;3.4.0;246;95;48175;548;6;73;29;5;63;0;171;0;0;0;207
Before CI/CD;3.0.0;218;80;42150;475;6;67;17;4;49;0;136;0;0;0;202
Before CI/CD;2.2.0;192;66;36576;425;6;48;14;4;36;0;127;0;0;0;196
Before CI/CD;2.0.0;189;63;34495;380;6;29;12;3;28;0;120;0;0;0;188
Before CI/CD;1.5.0;198;61;35343;372;6;25;16;2;28;0;113;0;0;0;188
Before CI/CD;1.0.0;114;35;19874;139;6;26;14;0;6;0;53;1;0;0;39
