Period;Version;Classes Total;Classes w/ Atoms;LoC;N.Atoms;N.Types;PostIncDec;PreIncDec;IOP;CO;AaL;LaCF;RV;CoLE;OCB;TC
After CI/CD;2.9.0;166;39;43560;147;5;1;1;0;50;0;86;0;0;0;9
After CI/CD;2.8.0;159;38;43137;161;5;1;1;13;61;0;76;0;0;0;9
After CI/CD;2.7.0;159;37;42872;145;6;1;1;13;44;0;77;0;0;0;9
After CI/CD;2.6.0;154;35;42406;158;6;1;1;13;42;0;92;0;0;0;9
After CI/CD;2.5.0;150;34;40705;155;6;1;1;13;40;0;91;0;0;0;9
After CI/CD;2.4.0;136;31;31353;140;6;1;1;12;35;0;87;0;0;0;4
After CI/CD;2.3.0;129;29;28088;134;6;1;1;13;28;0;87;0;0;0;4
After CI/CD;2.2.0;128;28;27954;133;6;1;1;13;27;0;87;0;0;0;4
Before CI/CD;2.1.0;118;27;26911;130;6;1;1;10;25;0;89;0;0;0;4
Before CI/CD;2.0.0;109;24;25574;117;6;1;1;10;20;0;81;0;0;0;4
Before CI/CD;1.4.0;113;27;24287;139;6;2;1;1;35;0;96;0;0;0;4
Before CI/CD;1.3.0;113;24;24287;135;6;2;1;1;35;0;92;0;0;0;4
Before CI/CD;1.2.0;71;22;13978;102;6;3;1;1;19;0;74;0;0;0;4
Before CI/CD;1.1.0;63;20;12372;95;6;2;1;1;19;0;68;0;0;0;4
Before CI/CD;1.0.0;49;11;9839;74;5;1;1;0;6;0;62;0;0;0;4
