Period;Version;Classes Total;Classes w/ Atoms;LoC;N.Atoms;N.Types;PostIncDec;PreIncDec;IOP;CO;AaL;LaCF;RV;CoLE;OCB;TC
After CI/CD;7.0.0;51;15;7532;82;4;0;0;38;17;0;24;0;0;0;3
After CI/CD;6.4.0;52;13;7745;76;4;0;0;37;16;0;20;0;0;0;3
After CI/CD;6.0.0;55;11;7658;65;4;0;0;31;12;0;19;0;0;0;3
After CI/CD;5.0.0;52;10;6652;26;3;0;0;7;4;0;15;0;0;0;0
After CI/CD;4.0.0;44;11;5493;25;3;0;0;7;6;0;12;0;0;0;0
Before CI/CD;3.5.0;34;8;4147;14;2;0;0;0;4;0;10;0;0;0;0
Before CI/CD;3.0.0;26;8;2927;13;2;0;0;0;2;0;11;0;0;0;0
Before CI/CD;2.3.0;19;6;2175;10;1;0;0;0;0;0;10;0;0;0;0
Before CI/CD;2.0.0;13;4;1443;5;1;0;0;0;0;0;5;0;0;0;0
Before CI/CD;1.0.0;7;1;804;1;1;0;0;0;0;0;1;0;0;0;0
