Period;Version;Classes Total;Classes w/ Atoms;LoC;N.Atoms;N.Types;PostIncDec;PreIncDec;IOP;CO;AaL;LaCF;RV;CoLE;OCB;TC
After CI/CD;2.3.32;1477;298;132212;2587;7;69;7;645;968;0;814;0;4;0;80
After CI/CD;2.3.30;1435;293;129426;2515;7;67;7;636;941;0;781;0;4;0;79
After CI/CD;2.3.29;1354;285;122556;2469;7;64;7;632;927;0;756;0;4;0;79
After CI/CD;2.3.28;1295;276;116972;2372;7;60;7;630;879;0;714;0;4;0;78
After CI/CD;2.3.27;1273;272;114657;2334;7;60;7;628;857;0;700;0;4;0;78
Before CI/CD;2.3.26;1247;269;113043;2301;7;60;7;627;846;0;679;0;4;0;78
Before CI/CD;2.3.25;1223;264;110790;2243;7;60;7;615;817;0;662;0;4;0;78
Before CI/CD;2.3.24;1210;259;108051;2196;7;60;7;613;795;0;639;0;4;0;78
Before CI/CD;2.3.22;1023;224;88843;1911;7;53;4;602;699;0;472;0;4;0;77
Before CI/CD;2.3.20;640;172;55466;1193;7;50;4;360;447;0;299;0;2;0;31
