Period;Version;Classes Total;Classes w/ Atoms;LoC;N.Atoms;N.Types;PostIncDec;PreIncDec;IOP;CO;AaL;LaCF;RV;CoLE;OCB;TC
After CI/CD;2.8.3;51;29;8035;197;4;0;0;22;68;0;103;0;0;0;4
After CI/CD;2.8.2;51;29;8026;194;4;0;0;22;68;0;100;0;0;0;4
After CI/CD;2.8.0;51;29;8034;194;4;0;0;22;68;0;100;0;0;0;4
After CI/CD;2.7.1;48;28;7825;184;4;0;0;22;64;0;94;0;0;0;4
After CI/CD;2.7.0;48;28;7791;184;4;0;0;22;64;0;94;0;0;0;4
Before CI/CD;2.6.0;51;29;8074;188;4;0;0;22;66;0;96;0;0;0;4
Before CI/CD;2.5.0;51;29;7803;182;4;0;0;22;62;0;94;0;0;0;4
Before CI/CD;2.4.0;51;29;7777;180;4;0;0;23;60;0;94;0;0;0;4
Before CI/CD;2.3.0;50;28;6739;152;4;0;0;21;49;0;81;0;0;0;1
Before CI/CD;2.2.0;51;27;6564;148;4;0;0;21;45;0;81;0;0;0;1
