Period;Version;Classes Total;Classes w/ Atoms;LoC;N.Atoms;N.Types;PostIncDec;PreIncDec;IOP;CO;AaL;LaCF;RV;CoLE;OCB;TC
After CI/CD;4.6.0;301;106;32312;517;6;26;0;51;174;0;219;0;2;0;45
After CI/CD;4.0.0;300;113;33436;551;5;24;0;52;189;0;238;0;0;0;48
After CI/CD;3.26.0;285;110;32398;568;5;24;0;52;199;0;242;0;0;0;51
After CI/CD;3.16.0;210;84;26303;461;5;25;0;42;178;0;170;0;0;0;46
After CI/CD;3.7.0;146;69;21052;379;5;17;0;41;142;0;141;0;0;0;38
After CI/CD;3.4.0;131;61;19436;376;5;33;0;42;141;0;135;0;0;0;25
Before CI/CD;3.3.0;133;57;19836;379;5;33;0;42;140;0;139;0;0;0;25
Before CI/CD;3.2.0;132;60;21150;439;5;33;0;42;169;0;166;0;0;0;29
Before CI/CD;3.0.0;147;66;24065;471;5;31;0;47;188;0;174;0;0;0;31
Before CI/CD;2.0.0;328;121;42900;575;6;1;0;86;202;0;218;0;1;0;67
Before CI/CD;1.1.0;215;65;31228;387;6;0;1;52;91;0;161;0;1;0;81
Before CI/CD;1.0.12;109;44;18750;251;6;1;2;39;79;0;91;0;0;0;39
