Period;Version;Classes Total;Classes w/ Atoms;LoC;N.Atoms;N.Types;PostIncDec;PreIncDec;IOP;CO;AaL;LaCF;RV;CoLE;OCB;TC
After CI/CD;2.5.0;134;29;5710;51;4;0;0;1;8;0;40;0;0;0;2
After CI/CD;2.3.0;123;26;5177;55;4;0;0;2;6;0;46;0;0;0;1
After CI/CD;2.1.0;75;16;2571;43;4;0;0;2;4;0;35;0;0;0;1
After CI/CD;2.0.0;73;14;2431;40;4;0;0;1;4;0;34;0;0;0;1
After CI/CD;1.7.0;58;8;1731;24;4;0;0;1;3;0;19;0;0;0;1
Before CI/CD;1.5.0;22;6;1038;18;3;0;0;1;3;0;14;0;0;0;0
Before CI/CD;1.3.0;20;6;813;16;3;0;0;1;3;0;12;0;0;0;0
Before CI/CD;1.2.0;19;6;706;15;3;0;0;1;3;0;11;0;0;0;0
Before CI/CD;1.1.0;7;3;439;12;3;0;0;1;1;0;10;0;0;0;0
Before CI/CD;1.0.0;6;2;395;8;3;0;0;1;1;0;6;0;0;0;0
