Period;Version;Classes Total;Classes w/ Atoms;LoC;N.Atoms;N.Types;PostIncDec;PreIncDec;IOP;CO;AaL;LaCF;RV;CoLE;OCB;TC
After CI/CD;3.2.0;254;108;35960;352;6;3;1;3;12;0;322;0;0;0;11
After CI/CD;2.2.0;116;43;20412;214;6;1;1;1;2;0;204;0;0;0;5
After CI/CD;2.0.0;111;41;18356;164;3;0;0;1;2;0;161;0;0;0;0
After CI/CD;1.9.2;93;42;16276;143;4;0;0;1;7;0;132;0;0;0;3
After CI/CD;1.8.17;86;40;15026;140;4;0;0;1;7;0;129;0;0;0;3
Before CI/CD;1.8.0;82;38;12798;168;4;1;0;0;44;0;120;0;0;0;3
Before CI/CD;1.7.0;60;29;9176;106;3;1;0;0;8;0;97;0;0;0;0
Before CI/CD;1.5.0;50;24;7393;62;3;3;0;0;0;0;55;0;0;0;4
Before CI/CD;1.3.0;41;15;5958;55;4;1;1;0;0;0;49;0;0;0;4
Before CI/CD;1.0.0;31;14;4656;33;4;1;3;0;0;0;25;0;0;0;4
