Period;Version;Classes Total;Classes w/ Atoms;LoC;N.Atoms;N.Types;PostIncDec;PreIncDec;IOP;CO;AaL;LaCF;RV;CoLE;OCB;TC
After CI/CD;6.1.0;1188;235;141398;936;6;23;8;39;339;0;514;0;0;0;13
After CI/CD;6.0.0;1196;241;144041;1048;8;66;12;50;355;8;529;0;1;0;27
After CI/CD;2.5.20;1215;238;116817;998;8;66;12;50;329;8;505;0;1;0;27
After CI/CD;2.5.15;1213;233;115935;993;8;65;11;50;325;8;506;0;1;0;27
After CI/CD;2.5.10;1169;231;111397;987;8;65;11;50;323;8;502;0;1;0;27
After CI/CD;2.5.5;1160;231;111173;986;8;65;11;46;323;8;505;0;1;0;27
After CI/CD;2.5.3;1159;231;111129;986;8;65;11;46;323;8;505;0;1;0;27
Before CI/CD;2.5.0;1155;228;110556;975;8;65;11;46;320;8;497;0;1;0;27
Before CI/CD;2.3.25;620;122;58071;482;8;52;6;13;132;8;246;0;1;0;24
Before CI/CD;2.3.20;599;112;53785;357;6;5;2;2;121;0;221;0;0;0;6
Before CI/CD;2.3.15;575;102;51068;341;6;5;2;1;111;0;216;0;0;0;6
Before CI/CD;2.3.10;571;101;50411;339;6;5;2;1;109;0;216;0;0;0;6
Before CI/CD;2.3.1;560;98;48682;323;5;5;2;0;108;0;202;0;0;0;6
Before CI/CD;2.2.0;562;98;48798;319;5;5;2;0;107;0;199;0;0;0;6
