Period;Version;Classes Total;Classes w/ Atoms;LoC;N.Atoms;N.Types;PostIncDec;PreIncDec;IOP;CO;AaL;LaCF;RV;CoLE;OCB;TC
After CI/CD;2.1.4;40;24;8356;127;5;2;0;22;41;0;47;0;0;0;15
After CI/CD;2.1.0;40;24;7936;125;5;2;0;22;39;0;47;0;0;0;15
After CI/CD;2.0.8;40;23;7737;116;5;2;0;22;34;0;44;0;0;0;14
After CI/CD;2.0.5;41;24;7619;116;5;2;0;22;33;0;45;0;0;0;14
After CI/CD;2.0.3;41;23;7460;113;5;2;0;22;29;0;46;0;0;0;14
Before CI/CD;2.0.0;40;22;7237;109;5;2;0;22;27;0;44;0;0;0;14
Before CI/CD;1.1.3;36;20;6382;99;5;2;0;22;26;0;35;0;0;0;14
Before CI/CD;1.1.0;35;19;6169;97;5;2;0;22;26;0;33;0;0;0;14
Before CI/CD;1.0.5;35;17;5889;81;5;2;0;22;18;0;32;0;0;0;7
Before CI/CD;1.0.0;32;14;5080;75;5;2;0;22;16;0;28;0;0;0;7
